deliverable_id,discipline,project_phase,planned_value_usd,earned_value_usd,actual_cost_usd,completion_pct,planned_duration_days,actual_duration_days
DEL-10625,Mechanical Equipment,Construction & Erection,9720.33,1351.79,1462.03,13.9,60,64
DEL-10626,Civil & Structural,Construction & Erection,1838.4,508.26,658.48,27.6,43,42
DEL-10627,Civil & Structural,Construction & Erection,15704.37,3607.91,3380.49,23.0,82,100
DEL-10628,Electrical,Engineering & Design,4970.72,3698.68,3277.38,74.4,110,126
DEL-10629,Piping & Layout,Pre-Commissioning,3049.92,1092.14,1118.04,35.8,63,78
DEL-10630,Piping & Layout,Construction & Erection,3868.63,2150.19,2568.96,55.6,57,58
DEL-10631,Electrical,Construction & Erection,9387.51,5954.2,4900.11,63.4,116,120
DEL-10632,Instrumentation & Control,Construction & Erection,3079.23,1378.27,1733.93,44.8,82,90
DEL-10633,Civil & Structural,Pre-Commissioning,2698.67,834.05,845.89,30.9,91,94
DEL-10634,Civil & Structural,Procurement & Fabrication,4116.55,1989.78,1850.2,48.3,34,55
DEL-10635,Piping & Layout,Engineering & Design,1916.83,1631.35,1305.03,85.1,32,46
DEL-10636,Civil & Structural,Construction & Erection,21087.49,16064.96,18410.09,76.2,78,83
DEL-10637,Civil & Structural,Construction & Erection,3124.05,2718.77,2757.72,87.0,63,65
DEL-10638,Piping & Layout,Construction & Erection,9559.53,8773.06,9348.63,91.8,56,64
DEL-10639,Piping & Layout,Procurement & Fabrication,5811.4,2840.79,2570.57,48.9,115,112
DEL-10640,Civil & Structural,Engineering & Design,2235.84,1212.51,1202.97,54.2,26,25
DEL-10641,Piping & Layout,Procurement & Fabrication,4891.41,3238.06,3131.24,66.2,103,110
DEL-10642,Piping & Layout,Pre-Commissioning,9202.24,2844.75,2915.62,30.9,108,106
DEL-10643,Piping & Layout,Construction & Erection,4227.61,2389.76,2245.34,56.5,93,102
DEL-10644,Piping & Layout,Procurement & Fabrication,12765.36,6960.92,5637.46,54.5,50,57
DEL-10645,Piping & Layout,Engineering & Design,11127.92,4530.47,6565.89,40.7,22,9
DEL-10646,Instrumentation & Control,Procurement & Fabrication,10251.01,5572.29,4655.59,54.4,42,28
DEL-10647,Mechanical Equipment,Construction & Erection,3402.53,2141.42,2285.36,62.9,100,89
DEL-10648,Mechanical Equipment,Construction & Erection,2071.7,1276.07,987.93,61.6,74,83
DEL-10649,Electrical,Construction & Erection,3008.3,2325.69,1722.04,77.3,63,57
DEL-10650,Civil & Structural,Procurement & Fabrication,5750.22,1636.88,1726.38,28.5,52,79
DEL-10651,Piping & Layout,Construction & Erection,7605.52,5023.7,5356.04,66.1,94,116
DEL-10652,Civil & Structural,Engineering & Design,865.01,610.89,750.92,70.6,72,105
DEL-10653,Mechanical Equipment,Construction & Erection,4882.97,3359.05,3694.73,68.8,19,24
DEL-10654,Electrical,Procurement & Fabrication,5577.36,1670.82,1700.1,30.0,60,45
DEL-10655,Civil & Structural,Procurement & Fabrication,3936.17,3191.74,2864.78,81.1,112,93
DEL-10656,Piping & Layout,Construction & Erection,13808.22,4827.81,6106.47,35.0,116,111
DEL-10657,Piping & Layout,Pre-Commissioning,6887.23,5687.04,6706.89,82.6,89,73
DEL-10658,Civil & Structural,Engineering & Design,14018.79,8369.94,7139.98,59.7,16,20
DEL-10659,Mechanical Equipment,Construction & Erection,4134.95,2529.62,2645.21,61.2,103,106
DEL-10660,Mechanical Equipment,Engineering & Design,10404.38,4447.78,4721.8,42.7,39,43
DEL-10661,Civil & Structural,Procurement & Fabrication,18179.56,16075.48,15885.01,88.4,15,20
DEL-10662,Instrumentation & Control,Engineering & Design,14035.64,3297.7,3811.41,23.5,109,158
DEL-10663,Mechanical Equipment,Procurement & Fabrication,2051.42,1694.82,1974.06,82.6,83,83
DEL-10664,Piping & Layout,Procurement & Fabrication,4012.06,609.62,616.58,15.2,54,43
DEL-10665,Piping & Layout,Engineering & Design,3728.9,2794.71,2788.75,74.9,82,67
DEL-10666,Piping & Layout,Procurement & Fabrication,7269.22,4904.54,6203.48,67.5,83,107
DEL-10667,Piping & Layout,Pre-Commissioning,8510.73,3534.19,4170.08,41.5,83,92
DEL-10668,Piping & Layout,Engineering & Design,2512.13,264.7,278.16,10.5,30,26
DEL-10669,Piping & Layout,Construction & Erection,5188.87,1268.99,1009.63,24.5,68,82
DEL-10670,Piping & Layout,Procurement & Fabrication,976.58,332.79,363.27,34.1,77,65
DEL-10671,Piping & Layout,Construction & Erection,15577.08,14690.74,16816.68,94.3,32,23
DEL-10672,Instrumentation & Control,Engineering & Design,3262.02,1999.26,1399.48,61.3,31,20
DEL-10673,Piping & Layout,Engineering & Design,5139.4,2477.71,2670.43,48.2,113,87
DEL-10674,Civil & Structural,Engineering & Design,3836.36,3376.37,3300.39,88.0,96,124
DEL-10675,Civil & Structural,Engineering & Design,12293.45,9214.45,9277.77,75.0,18,18
DEL-10676,Instrumentation & Control,Engineering & Design,507.75,189.86,171.61,37.4,109,115
DEL-10677,Piping & Layout,Construction & Erection,4849.89,1675.48,1705.26,34.5,109,120
DEL-10678,Civil & Structural,Construction & Erection,4515.83,2144.25,2677.74,47.5,23,20
DEL-10679,Instrumentation & Control,Construction & Erection,3418.96,2396.81,2332.19,70.1,45,43
DEL-10680,Instrumentation & Control,Construction & Erection,19554.9,3245.35,3845.21,16.6,19,19
DEL-10681,Electrical,Engineering & Design,2416.65,2031.03,1866.62,84.0,114,100
DEL-10682,Piping & Layout,Engineering & Design,9112.81,6296.52,7265.01,69.1,30,29
DEL-10683,Piping & Layout,Procurement & Fabrication,6535.49,3729.01,3879.09,57.1,56,58
DEL-10684,Mechanical Equipment,Engineering & Design,13483.41,5107.96,5582.0,37.9,55,56
DEL-10685,Instrumentation & Control,Procurement & Fabrication,2882.03,1657.92,1726.02,57.5,94,108
DEL-10686,Mechanical Equipment,Procurement & Fabrication,2734.28,1289.38,1465.05,47.2,98,94
DEL-10687,Mechanical Equipment,Procurement & Fabrication,11811.82,4776.27,3343.39,40.4,44,60
DEL-10688,Piping & Layout,Procurement & Fabrication,6906.77,1133.56,937.49,16.4,40,34
DEL-10689,Electrical,Construction & Erection,1428.03,1260.33,1389.59,88.3,63,60
DEL-10690,Piping & Layout,Construction & Erection,3192.49,2314.89,1697.9,72.5,45,51
DEL-10691,Piping & Layout,Procurement & Fabrication,6694.93,4346.44,4174.37,64.9,64,76
DEL-10692,Civil & Structural,Pre-Commissioning,9606.66,7826.77,8076.04,81.5,29,24
DEL-10693,Civil & Structural,Pre-Commissioning,2854.4,1621.25,1484.71,56.8,66,69
DEL-10694,Piping & Layout,Procurement & Fabrication,477.51,255.12,238.86,53.4,119,145
DEL-10695,Piping & Layout,Procurement & Fabrication,7469.46,1340.71,1448.95,17.9,52,38
DEL-10696,Mechanical Equipment,Procurement & Fabrication,1851.49,704.01,838.75,38.0,52,54
DEL-10697,Piping & Layout,Pre-Commissioning,978.61,664.99,595.98,68.0,74,56
DEL-10698,Mechanical Equipment,Construction & Erection,509.86,395.26,376.97,77.5,34,31
DEL-10699,Piping & Layout,Engineering & Design,9425.6,2578.71,2399.0,27.4,113,122
DEL-10700,Civil & Structural,Procurement & Fabrication,5447.4,5428.31,3799.82,99.6,101,103
DEL-10701,Civil & Structural,Construction & Erection,4103.0,3183.02,3378.0,77.6,58,48
DEL-10702,Piping & Layout,Procurement & Fabrication,14931.37,4922.8,5809.92,33.0,117,153
DEL-10703,Piping & Layout,Engineering & Design,8183.37,3704.93,4418.12,45.3,103,102
DEL-10704,Piping & Layout,Construction & Erection,17908.67,14021.82,12751.23,78.3,77,90
DEL-10705,Piping & Layout,Construction & Erection,1612.94,1432.47,1220.81,88.8,64,87
DEL-10706,Instrumentation & Control,Construction & Erection,4780.78,1628.28,1698.69,34.1,36,33
DEL-10707,Piping & Layout,Construction & Erection,1348.34,760.67,885.72,56.4,86,102
DEL-10708,Electrical,Construction & Erection,4090.79,3581.98,3808.46,87.6,68,78
DEL-10709,Piping & Layout,Procurement & Fabrication,4028.33,1492.63,1617.11,37.1,23,18
DEL-10710,Mechanical Equipment,Construction & Erection,8113.55,7104.49,8605.48,87.6,29,38
DEL-10711,Electrical,Engineering & Design,5097.22,1668.18,1549.96,32.7,62,67
DEL-10712,Mechanical Equipment,Construction & Erection,8092.76,4687.12,4719.95,57.9,34,32
DEL-10713,Civil & Structural,Engineering & Design,8627.86,4833.29,6211.71,56.0,49,36
DEL-10714,Civil & Structural,Construction & Erection,27555.1,20420.21,20634.18,74.1,115,93
DEL-10715,Piping & Layout,Engineering & Design,3819.07,1086.65,923.54,28.5,81,84
DEL-10716,Instrumentation & Control,Engineering & Design,2315.04,1900.73,1785.92,82.1,74,59
DEL-10717,Electrical,Engineering & Design,5984.13,3675.67,3305.43,61.4,112,133
DEL-10718,Instrumentation & Control,Engineering & Design,2586.8,2148.91,2349.99,83.1,48,47
DEL-10719,Piping & Layout,Construction & Erection,16083.81,7950.58,7200.11,49.4,114,85
DEL-10720,Electrical,Construction & Erection,3918.35,2141.05,2313.73,54.6,113,105
DEL-10721,Instrumentation & Control,Procurement & Fabrication,3126.09,2398.93,2230.02,76.7,87,74
DEL-10722,Piping & Layout,Engineering & Design,3370.94,2487.67,1794.84,73.8,108,88
DEL-10723,Piping & Layout,Engineering & Design,8731.86,5646.14,6131.67,64.7,68,42
DEL-10724,Electrical,Engineering & Design,4332.08,1397.11,1484.11,32.3,104,112
DEL-10725,Mechanical Equipment,Engineering & Design,2941.48,1328.72,1485.07,45.2,26,23
DEL-10726,Electrical,Construction & Erection,18625.4,13582.15,12754.34,72.9,102,146
DEL-10727,Piping & Layout,Engineering & Design,2477.65,1175.52,1085.09,47.4,119,150
DEL-10728,Electrical,Procurement & Fabrication,5056.62,1246.85,1371.81,24.7,33,46
DEL-10729,Piping & Layout,Engineering & Design,8282.04,5976.01,7576.7,72.2,94,113
DEL-10730,Piping & Layout,Engineering & Design,1332.66,889.5,926.57,66.7,40,38
DEL-10731,Piping & Layout,Procurement & Fabrication,7217.1,3393.6,3745.47,47.0,37,42
DEL-10732,Electrical,Construction & Erection,2113.11,448.81,445.12,21.2,47,47
DEL-10733,Mechanical Equipment,Engineering & Design,9492.21,9218.68,7452.89,97.1,71,80
DEL-10734,Civil & Structural,Engineering & Design,2275.33,1437.98,1704.17,63.2,44,54
DEL-10735,Civil & Structural,Procurement & Fabrication,8554.52,5707.74,6713.79,66.7,37,44
DEL-10736,Instrumentation & Control,Engineering & Design,11904.44,6768.71,7761.12,56.9,88,93
DEL-10737,Civil & Structural,Engineering & Design,9790.32,3479.58,3523.8,35.5,50,54
DEL-10738,Electrical,Pre-Commissioning,6009.24,4168.98,4709.1,69.4,109,120
DEL-10739,Civil & Structural,Construction & Erection,4084.52,1019.24,1196.66,25.0,100,128
DEL-10740,Civil & Structural,Construction & Erection,3099.09,1998.5,2564.12,64.5,57,55
DEL-10741,Civil & Structural,Procurement & Fabrication,15943.84,14794.92,17580.49,92.8,116,117
DEL-10742,Piping & Layout,Procurement & Fabrication,2808.49,1879.11,1972.27,66.9,80,77
DEL-10743,Electrical,Procurement & Fabrication,2143.83,814.8,687.49,38.0,67,73
DEL-10744,Civil & Structural,Construction & Erection,8369.05,2359.61,2509.08,28.2,101,120
DEL-10745,Piping & Layout,Construction & Erection,2599.54,1300.75,1402.84,50.0,113,127
DEL-10746,Instrumentation & Control,Engineering & Design,2298.36,1265.08,1450.23,55.0,74,78
DEL-10747,Civil & Structural,Procurement & Fabrication,1548.62,1436.87,1786.16,92.8,51,65
DEL-10748,Civil & Structural,Procurement & Fabrication,3339.82,2253.32,2311.29,67.5,75,68
DEL-10749,Instrumentation & Control,Construction & Erection,4600.08,3247.6,4400.98,70.6,110,84
DEL-10750,Mechanical Equipment,Construction & Erection,5969.83,2182.62,1693.95,36.6,67,75
DEL-10751,Piping & Layout,Procurement & Fabrication,10520.12,5383.57,5937.55,51.2,26,27
DEL-10752,Instrumentation & Control,Engineering & Design,7491.46,5805.88,5342.7,77.5,49,50
DEL-10753,Mechanical Equipment,Construction & Erection,4218.78,410.51,309.49,9.7,119,95
DEL-10754,Piping & Layout,Engineering & Design,4194.14,594.0,599.79,14.2,81,89
DEL-10755,Piping & Layout,Procurement & Fabrication,7391.8,876.51,719.98,11.9,112,159
DEL-10756,Electrical,Engineering & Design,13603.14,6102.98,6199.32,44.9,52,41
DEL-10757,Mechanical Equipment,Construction & Erection,5437.37,4473.13,4675.39,82.3,38,39
DEL-10758,Civil & Structural,Engineering & Design,3376.84,1086.76,1312.57,32.2,116,125
DEL-10759,Instrumentation & Control,Procurement & Fabrication,2220.99,758.13,617.01,34.1,95,92
DEL-10760,Electrical,Construction & Erection,1546.63,725.45,853.33,46.9,54,59
DEL-10761,Piping & Layout,Engineering & Design,8375.08,3967.58,4184.66,47.4,79,77
DEL-10762,Piping & Layout,Procurement & Fabrication,7803.93,3928.06,4691.38,50.3,71,77
DEL-10763,Piping & Layout,Procurement & Fabrication,7800.09,2489.66,2428.01,31.9,86,87
DEL-10764,Electrical,Engineering & Design,4434.07,1202.6,1010.38,27.1,93,89
DEL-10765,Piping & Layout,Construction & Erection,15146.85,14669.83,12577.54,96.9,59,62
DEL-10766,Mechanical Equipment,Engineering & Design,3336.59,562.72,476.19,16.9,103,119
DEL-10767,Electrical,Procurement & Fabrication,10553.53,7710.48,8571.53,73.1,86,64
DEL-10768,Instrumentation & Control,Construction & Erection,4764.78,4296.7,5420.45,90.2,110,132
DEL-10769,Piping & Layout,Construction & Erection,3020.93,2515.93,2403.36,83.3,27,25
DEL-10770,Electrical,Construction & Erection,7895.31,2066.73,2344.44,26.2,93,110
DEL-10771,Piping & Layout,Engineering & Design,6820.64,5953.37,4831.07,87.3,20,19
DEL-10772,Electrical,Engineering & Design,6539.25,1324.26,1413.05,20.3,111,133
DEL-10773,Piping & Layout,Construction & Erection,5244.96,2182.27,2488.41,41.6,85,89
DEL-10774,Civil & Structural,Procurement & Fabrication,4768.02,2708.13,2228.2,56.8,111,97
DEL-10775,Electrical,Construction & Erection,33213.03,9140.67,9226.75,27.5,61,59
DEL-10776,Piping & Layout,Construction & Erection,12675.23,7370.62,8456.96,58.1,107,139
DEL-10777,Piping & Layout,Construction & Erection,8762.72,3284.03,2298.82,37.5,116,124
DEL-10778,Electrical,Procurement & Fabrication,5374.6,5030.35,6239.23,93.6,115,111
DEL-10779,Electrical,Procurement & Fabrication,11000.83,6700.57,7324.07,60.9,58,75
DEL-10780,Mechanical Equipment,Construction & Erection,7438.29,6238.38,7158.6,83.9,46,57
DEL-10781,Mechanical Equipment,Procurement & Fabrication,5018.89,4804.95,4699.68,95.7,17,15
DEL-10782,Civil & Structural,Engineering & Design,3855.09,2500.12,1954.07,64.9,68,69
DEL-10783,Piping & Layout,Construction & Erection,4606.7,4291.52,4806.97,93.2,98,69
DEL-10784,Piping & Layout,Construction & Erection,389.03,297.19,305.4,76.4,92,114
DEL-10785,Piping & Layout,Procurement & Fabrication,5816.66,4502.08,4703.85,77.4,106,112
DEL-10786,Instrumentation & Control,Engineering & Design,3324.98,1981.68,2384.24,59.6,52,62
DEL-10787,Mechanical Equipment,Procurement & Fabrication,17573.3,3582.04,4134.79,20.4,18,12
DEL-10788,Civil & Structural,Construction & Erection,4991.42,2509.89,3333.59,50.3,93,93
DEL-10789,Civil & Structural,Pre-Commissioning,1898.52,572.58,608.7,30.2,31,34
DEL-10790,Instrumentation & Control,Engineering & Design,4722.51,3847.37,3602.36,81.5,51,32
DEL-10791,Piping & Layout,Engineering & Design,2128.35,782.25,791.43,36.8,102,122
DEL-10792,Mechanical Equipment,Construction & Erection,7177.64,4525.36,4988.53,63.0,116,115
DEL-10793,Civil & Structural,Procurement & Fabrication,6202.81,4675.82,5575.34,75.4,119,84
DEL-10794,Mechanical Equipment,Procurement & Fabrication,10575.25,3512.02,2879.66,33.2,50,48
DEL-10795,Piping & Layout,Pre-Commissioning,2610.49,1439.36,1498.78,55.1,72,83
DEL-10796,Instrumentation & Control,Engineering & Design,5050.32,2224.37,2850.38,44.0,55,48
DEL-10797,Instrumentation & Control,Construction & Erection,1649.1,989.62,993.54,60.0,22,23
DEL-10798,Mechanical Equipment,Engineering & Design,8614.45,2672.77,3152.93,31.0,81,79
DEL-10799,Mechanical Equipment,Procurement & Fabrication,7443.5,7128.82,7941.28,95.8,44,29
DEL-10800,Instrumentation & Control,Construction & Erection,7307.41,5226.05,6184.39,71.5,100,118
DEL-10801,Electrical,Procurement & Fabrication,4921.14,4795.83,4405.14,97.5,66,81
DEL-10802,Piping & Layout,Pre-Commissioning,6848.73,5240.55,4817.06,76.5,111,143
DEL-10803,Mechanical Equipment,Construction & Erection,17738.12,9519.84,9929.58,53.7,39,41
DEL-10804,Mechanical Equipment,Procurement & Fabrication,3912.47,3183.06,2578.81,81.4,66,76
DEL-10805,Civil & Structural,Engineering & Design,5491.28,4558.2,4556.1,83.0,73,54
DEL-10806,Electrical,Procurement & Fabrication,2061.31,1581.72,1704.99,76.7,44,49
DEL-10807,Instrumentation & Control,Procurement & Fabrication,2453.8,1420.32,1857.35,57.9,115,115
DEL-10808,Instrumentation & Control,Engineering & Design,5314.8,1841.77,2026.69,34.7,81,85
DEL-10809,Civil & Structural,Procurement & Fabrication,11886.36,10535.89,11945.43,88.6,18,15
DEL-10810,Piping & Layout,Procurement & Fabrication,4003.7,3317.79,4030.02,82.9,107,137
DEL-10811,Instrumentation & Control,Construction & Erection,4069.46,2074.53,1857.33,51.0,71,52
DEL-10812,Electrical,Construction & Erection,3549.25,1010.44,1025.84,28.5,77,86
DEL-10813,Piping & Layout,Construction & Erection,3204.13,2595.03,3642.93,81.0,46,40
DEL-10814,Instrumentation & Control,Engineering & Design,6222.81,2309.2,2374.16,37.1,101,150
DEL-10815,Instrumentation & Control,Engineering & Design,1483.55,703.83,849.85,47.4,97,116
DEL-10816,Civil & Structural,Construction & Erection,13694.53,11241.08,13315.75,82.1,93,98
DEL-10817,Mechanical Equipment,Procurement & Fabrication,2886.1,853.4,698.33,29.6,65,56
DEL-10818,Civil & Structural,Engineering & Design,8756.25,1552.11,1686.47,17.7,77,95
DEL-10819,Piping & Layout,Construction & Erection,1779.35,275.98,293.09,15.5,94,38
DEL-10820,Piping & Layout,Construction & Erection,8392.32,6657.86,7253.69,79.3,101,115
DEL-10821,Electrical,Procurement & Fabrication,8413.19,6566.49,6086.37,78.0,118,137
DEL-10822,Piping & Layout,Engineering & Design,6683.26,3791.14,3307.63,56.7,115,132
DEL-10823,Piping & Layout,Construction & Erection,2218.21,1821.77,1764.57,82.1,15,18
DEL-10824,Civil & Structural,Construction & Erection,6000.74,2822.98,2894.49,47.0,33,31
DEL-10825,Civil & Structural,Construction & Erection,1907.51,983.92,1198.17,51.6,115,135
DEL-10826,Instrumentation & Control,Construction & Erection,4014.99,1872.38,2457.68,46.6,49,45
DEL-10827,Piping & Layout,Construction & Erection,11198.45,1443.19,1803.25,12.9,77,69
DEL-10828,Piping & Layout,Procurement & Fabrication,9296.21,4326.76,5058.11,46.5,108,92
DEL-10829,Electrical,Engineering & Design,4974.83,1249.15,1110.93,25.1,95,96
DEL-10830,Civil & Structural,Construction & Erection,2253.31,778.9,762.28,34.6,117,150
DEL-10831,Piping & Layout,Construction & Erection,8237.65,6346.37,6800.06,77.0,40,56
DEL-10832,Civil & Structural,Construction & Erection,4991.57,538.87,509.31,10.8,27,27
DEL-10833,Piping & Layout,Engineering & Design,767.97,330.65,372.51,43.1,100,93
DEL-10834,Piping & Layout,Engineering & Design,9192.14,3818.44,4383.85,41.5,37,49
DEL-10835,Civil & Structural,Construction & Erection,4820.41,3094.9,3467.66,64.2,111,127
DEL-10836,Civil & Structural,Construction & Erection,12861.08,3756.79,4484.75,29.2,105,112
DEL-10837,Instrumentation & Control,Pre-Commissioning,2046.29,1379.38,1247.39,67.4,49,41
DEL-10838,Civil & Structural,Construction & Erection,387.08,132.15,155.93,34.1,26,35
DEL-10839,Mechanical Equipment,Construction & Erection,6144.22,4800.68,4491.77,78.1,23,25
DEL-10840,Mechanical Equipment,Construction & Erection,6205.87,3990.09,3586.53,64.3,112,119
DEL-10841,Piping & Layout,Construction & Erection,1270.88,819.76,917.98,64.5,92,107
DEL-10842,Mechanical Equipment,Construction & Erection,2246.66,836.74,1022.82,37.2,115,122
DEL-10843,Piping & Layout,Construction & Erection,44541.39,10901.27,12135.31,24.5,81,110
DEL-10844,Instrumentation & Control,Engineering & Design,3848.78,1884.96,1966.24,49.0,58,73
DEL-10845,Piping & Layout,Procurement & Fabrication,8819.91,7075.99,7688.22,80.2,75,71
DEL-10846,Civil & Structural,Construction & Erection,2920.39,1058.38,1122.37,36.2,35,38
DEL-10847,Piping & Layout,Engineering & Design,923.12,753.1,656.03,81.6,21,20
DEL-10848,Instrumentation & Control,Engineering & Design,4288.93,3444.61,2940.34,80.3,111,160
DEL-10849,Civil & Structural,Procurement & Fabrication,3973.95,1364.3,1402.74,34.3,113,103
DEL-10850,Mechanical Equipment,Engineering & Design,3569.2,2307.28,2427.21,64.6,25,26
DEL-10851,Piping & Layout,Engineering & Design,4484.07,4035.01,4203.27,90.0,59,67
DEL-10852,Electrical,Procurement & Fabrication,6071.83,2433.1,2777.17,40.1,46,53
DEL-10853,Piping & Layout,Pre-Commissioning,4358.6,3072.36,3095.95,70.5,100,119
DEL-10854,Instrumentation & Control,Procurement & Fabrication,1787.9,448.32,504.11,25.1,97,118
DEL-10855,Piping & Layout,Engineering & Design,7251.39,4369.62,4449.63,60.3,50,60
DEL-10856,Piping & Layout,Engineering & Design,1033.29,398.35,523.24,38.6,51,50
DEL-10857,Piping & Layout,Construction & Erection,953.09,665.05,699.71,69.8,89,85
DEL-10858,Civil & Structural,Procurement & Fabrication,8878.11,7823.22,10882.94,88.1,55,59
DEL-10859,Mechanical Equipment,Construction & Erection,7373.27,4059.22,4435.93,55.1,91,86
DEL-10860,Piping & Layout,Construction & Erection,4694.2,2414.8,2433.99,51.4,106,98
DEL-10861,Electrical,Construction & Erection,1609.44,473.38,428.45,29.4,63,61
DEL-10862,Civil & Structural,Engineering & Design,2789.65,2511.27,2068.2,90.0,29,43
DEL-10863,Civil & Structural,Construction & Erection,3983.05,3889.59,3466.73,97.7,27,37
DEL-10864,Civil & Structural,Engineering & Design,1370.99,854.24,775.7,62.3,67,68
DEL-10865,Civil & Structural,Pre-Commissioning,2721.06,2603.02,2861.3,95.7,47,30
DEL-10866,Mechanical Equipment,Construction & Erection,8282.2,6397.72,6148.69,77.2,86,81
DEL-10867,Piping & Layout,Procurement & Fabrication,15395.71,1229.67,1313.33,8.0,46,57
DEL-10868,Piping & Layout,Engineering & Design,3513.8,915.97,1128.74,26.1,115,86
DEL-10869,Instrumentation & Control,Engineering & Design,9001.9,3983.59,4090.47,44.3,62,73
DEL-10870,Instrumentation & Control,Construction & Erection,1062.9,736.06,995.07,69.3,82,96
DEL-10871,Civil & Structural,Engineering & Design,8329.52,1117.37,964.99,13.4,71,76
DEL-10872,Piping & Layout,Construction & Erection,2583.35,1802.82,1834.21,69.8,76,80
DEL-10873,Mechanical Equipment,Engineering & Design,6284.72,5543.12,5316.43,88.2,96,84
DEL-10874,Civil & Structural,Construction & Erection,4031.11,2089.2,2466.25,51.8,101,121
DEL-10875,Piping & Layout,Construction & Erection,14133.9,8785.96,6185.59,62.2,107,120
DEL-10876,Piping & Layout,Construction & Erection,2441.7,1657.84,1365.29,67.9,16,15
DEL-10877,Electrical,Construction & Erection,8120.0,5152.13,5275.25,63.4,91,82
DEL-10878,Mechanical Equipment,Engineering & Design,3930.0,1625.06,2068.23,41.4,30,25
DEL-10879,Piping & Layout,Engineering & Design,4330.14,3252.9,3493.21,75.1,22,25
DEL-10880,Piping & Layout,Construction & Erection,4242.54,1987.43,1664.01,46.8,33,34
DEL-10881,Piping & Layout,Procurement & Fabrication,2498.54,1638.35,1409.68,65.6,46,47
DEL-10882,Mechanical Equipment,Procurement & Fabrication,4859.65,2622.08,3384.97,54.0,81,61
DEL-10883,Piping & Layout,Engineering & Design,4674.52,1960.0,1855.79,41.9,46,39
DEL-10884,Piping & Layout,Engineering & Design,5960.99,3815.15,3428.13,64.0,119,97
DEL-10885,Electrical,Engineering & Design,5258.52,4549.52,5739.7,86.5,99,120
DEL-10886,Piping & Layout,Construction & Erection,9305.82,1614.38,1923.79,17.3,39,43
DEL-10887,Mechanical Equipment,Engineering & Design,10288.76,5997.96,7384.15,58.3,67,67
DEL-10888,Piping & Layout,Construction & Erection,2120.7,460.61,413.39,21.7,95,122
DEL-10889,Piping & Layout,Engineering & Design,9847.94,1655.71,1343.17,16.8,39,49
DEL-10890,Piping & Layout,Construction & Erection,1902.51,583.35,618.34,30.7,47,60
DEL-10891,Electrical,Procurement & Fabrication,7865.84,7089.53,7729.49,90.1,45,46
DEL-10892,Instrumentation & Control,Construction & Erection,8069.05,4920.89,5386.85,61.0,50,39
DEL-10893,Electrical,Construction & Erection,1065.23,479.36,604.82,45.0,101,142
DEL-10894,Civil & Structural,Procurement & Fabrication,5294.29,2312.26,1803.42,43.7,103,120
DEL-10895,Mechanical Equipment,Pre-Commissioning,3378.55,2575.71,3010.88,76.2,63,74
DEL-10896,Piping & Layout,Pre-Commissioning,2678.43,1715.35,1501.8,64.0,58,69
DEL-10897,Piping & Layout,Construction & Erection,14482.29,5990.44,6998.99,41.4,62,100
DEL-10898,Instrumentation & Control,Construction & Erection,2913.34,689.34,667.8,23.7,44,46
DEL-10899,Piping & Layout,Engineering & Design,2578.33,795.51,730.2,30.9,27,36
DEL-10900,Piping & Layout,Construction & Erection,5221.58,4807.9,4560.37,92.1,57,51
DEL-10901,Piping & Layout,Engineering & Design,8505.53,5511.27,4536.65,64.8,107,131
DEL-10902,Piping & Layout,Engineering & Design,4388.23,1951.64,2041.54,44.5,30,43
DEL-10903,Piping & Layout,Pre-Commissioning,12495.16,8941.11,8262.47,71.6,116,122
DEL-10904,Mechanical Equipment,Procurement & Fabrication,7515.93,5768.09,6679.13,76.7,105,71
DEL-10905,Civil & Structural,Construction & Erection,860.43,369.97,420.28,43.0,40,47
DEL-10906,Instrumentation & Control,Construction & Erection,3217.71,1479.98,1913.94,46.0,89,90
DEL-10907,Electrical,Construction & Erection,3135.44,1687.91,1848.18,53.8,61,75
DEL-10908,Piping & Layout,Pre-Commissioning,7211.91,6018.53,6729.33,83.5,51,49
DEL-10909,Piping & Layout,Engineering & Design,601.93,544.59,680.74,90.5,17,26
DEL-10910,Civil & Structural,Engineering & Design,37767.63,21896.5,20710.82,58.0,40,43
DEL-10911,Mechanical Equipment,Procurement & Fabrication,7516.24,6497.71,5307.08,86.4,112,136
DEL-10912,Piping & Layout,Engineering & Design,5536.41,445.72,476.93,8.1,111,95
DEL-10913,Mechanical Equipment,Engineering & Design,12648.0,4853.26,4011.73,38.4,29,24
DEL-10914,Civil & Structural,Procurement & Fabrication,32045.86,28028.39,39466.52,87.5,80,64
DEL-10915,Mechanical Equipment,Construction & Erection,9863.51,5745.79,7230.06,58.3,42,34
DEL-10916,Civil & Structural,Construction & Erection,10499.16,7358.52,10041.41,70.1,98,117
DEL-10917,Piping & Layout,Procurement & Fabrication,5456.44,2713.19,2847.13,49.7,52,49
DEL-10918,Instrumentation & Control,Construction & Erection,4388.66,2935.99,3295.9,66.9,58,47
DEL-10919,Electrical,Engineering & Design,3358.88,2145.91,2083.85,63.9,67,62
DEL-10920,Piping & Layout,Engineering & Design,2537.95,1968.32,2307.73,77.6,94,113
DEL-10921,Instrumentation & Control,Construction & Erection,2836.68,839.67,720.16,29.6,18,22
DEL-10922,Civil & Structural,Construction & Erection,1668.29,289.03,202.32,17.3,86,108
